
2025/04/28 (12:59:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/28 (12:59:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/29 (19:05:16) | ===> btop++ v.1.4.0
2025/04/29 (19:05:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/29 (19:05:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (18:09:41) | ===> btop++ v.1.4.0
2025/05/03 (18:09:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/03 (18:09:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/06 (17:58:28) | ===> btop++ v.1.4.0
2025/05/06 (17:58:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/06 (17:58:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/09 (10:48:26) | ===> btop++ v.1.4.0
2025/05/09 (10:48:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/09 (10:48:26) | WARNING: Intel GPU: Failed to initialize PMU
